,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
126,Kavieng,7,PG,1592705935,66,-2.57,150.8,85.37,1.57
127,Comiso,0,IT,1592705936,58,36.95,14.61,64.99,3.36
128,Henties Bay,17,NA,1592705937,45,-22.12,14.28,59.0,5.57
129,Ilulissat,71,GL,1592705938,49,69.22,-51.1,46.4,6.93
130,Tura,3,IN,1592705939,81,25.52,90.22,80.87,5.53
131,Saint George,1,US,1592705940,7,37.1,-113.58,97.0,11.41
132,Ballina,40,AU,1592705941,72,-28.87,153.57,71.01,6.93
133,Diapaga,93,BF,1592705942,59,12.07,1.79,81.46,9.31
134,Novyy Svit,84,UA,1592705944,82,47.81,38.02,63.72,7.16
135,East London,0,ZA,1592705945,27,-33.02,27.91,72.5,15.12
136,Grindsted,98,DK,1592705946,87,55.75,8.91,55.4,4.7
137,New Norfolk,100,AU,1592705947,92,-42.78,147.06,48.99,1.28
138,Uray,36,RU,1592705948,69,60.12,64.78,46.98,11.9
139,Blackwater,67,AU,1592705949,48,-23.58,148.88,70.0,4.18
140,Faya,100,SA,1592705950,45,18.39,42.45,69.8,3.69
141,Kilindoni,97,TZ,1592705951,78,-7.91,39.67,77.56,23.04
142,Mahébourg,75,MU,1592705952,100,-20.41,57.7,68.0,12.75
143,Hay River,20,CA,1592705768,25,60.82,-115.8,86.0,12.75
144,Mpongwe,0,ZM,1592705954,91,-13.51,28.16,46.8,3.27
145,Tuktoyaktuk,90,CA,1592705956,87,69.45,-133.04,42.8,11.41
146,Cidreira,0,BR,1592705957,85,-30.18,-50.21,66.18,10.78
147,Bengkulu,100,ID,1592705958,79,-3.8,102.27,79.41,1.97
148,Bereda,62,ES,1592705959,1,43.27,-7.54,62.01,3.0
149,Magistral'nyy,0,RU,1592705960,45,56.17,107.45,73.15,5.57
150,Chokurdakh,0,RU,1592705961,17,70.63,147.92,91.18,8.16
151,Aliwal North,0,ZA,1592705962,75,-30.69,26.71,38.08,4.23
152,Atuona,0,PF,1592705963,66,-9.8,-139.03,80.24,11.83
153,Guerrero Negro,0,MX,1592705964,77,27.98,-114.06,64.92,19.91
154,Yar-Sale,93,RU,1592705965,78,66.83,70.83,48.25,9.93
155,Vardø,0,NO,1592705966,81,70.37,31.11,45.01,5.97
156,Sukabumi,90,ID,1592705968,72,-6.92,106.93,78.37,1.52
157,Konstantinovka,100,RU,1592705969,91,49.62,127.98,56.75,12.71
158,Campo Grande,0,BR,1592705970,63,-20.44,-54.65,64.4,4.7
159,Tema,20,GH,1592705971,94,5.67,-0.02,73.4,8.05
160,Port Victoria,100,KE,1592705972,81,0.09,33.98,66.69,7.18
161,Khatanga,57,RU,1592705973,44,71.97,102.5,67.8,12.53
162,Nome,90,US,1592705974,82,64.5,-165.41,62.01,11.41
163,Viedma,95,AR,1592705975,58,-40.81,-63.0,51.94,22.39
164,Qaanaaq,40,GL,1592705708,73,77.48,-69.36,38.46,7.63
165,Castro,0,BR,1592705977,86,-24.79,-50.01,56.62,3.89
166,Arraial do Cabo,0,BR,1592705978,87,-22.97,-42.03,73.8,12.41
167,Saint-Philippe,90,RE,1592705864,72,-21.36,55.77,71.6,8.05
168,Marsabit,27,KE,1592705981,87,2.33,37.99,61.38,10.67
169,Cabo San Lucas,40,MX,1592705735,35,22.89,-109.91,89.6,12.75
170,Carman,40,CA,1592705983,100,49.5,-98.0,62.6,11.88
171,Kichera,0,RU,1592705984,37,55.94,110.1,72.07,1.81
172,Seoul,0,KR,1592705708,57,37.57,126.98,82.4,3.36
173,Beyneu,98,KZ,1592705986,23,45.32,55.2,73.38,13.62
174,Vestmanna,57,FO,1592705987,93,62.16,-7.17,51.8,14.99
175,Tsévié,20,TG,1592705988,94,6.43,1.21,73.4,6.93
176,Magburaka,77,SL,1592705989,96,8.72,-11.95,72.46,1.23
177,Suntar,49,RU,1592705832,46,62.14,117.63,77.11,6.26
178,Kununurra,31,AU,1592705758,30,-15.77,128.73,86.0,18.34
179,Geraldton,0,AU,1592705993,63,-28.77,114.6,62.6,2.24
180,Huesca,0,ES,1592705757,93,42.14,-0.41,66.0,3.36
181,Bonfim,64,BR,1592705995,86,3.08,-59.95,76.51,4.25
182,Laas,90,IT,1592705996,81,46.62,10.7,50.0,9.17
183,Jamshedpur,75,IN,1592705997,94,22.8,86.18,80.6,3.36
184,Midland,1,US,1592705836,45,32.0,-102.08,86.0,17.22
185,Arica,90,CL,1592705985,72,-18.48,-70.3,62.6,3.36
186,Igrim,9,RU,1592705851,70,63.19,64.42,47.1,4.05
187,Beringovskiy,0,RU,1592705828,59,63.05,179.32,45.86,9.19
188,Ancud,3,CL,1592706002,100,-41.87,-73.82,42.01,8.05
189,Vaini,75,TO,1592706003,88,-21.2,-175.2,77.0,8.05
190,Curanilahue,14,CL,1592706004,91,-37.47,-73.35,44.08,1.41
191,Tibiri,5,NE,1592706006,46,13.56,7.05,86.88,9.86
192,Derzhavīnsk,0,KZ,1592706007,36,51.1,66.32,63.66,17.22
193,Kirkwall,0,GB,1592706008,87,58.98,-2.96,53.6,16.11
194,Meybod,0,IR,1592706009,14,32.25,54.02,81.1,3.49
195,Parkes,4,AU,1592706010,61,-33.13,148.18,60.01,11.59
196,Antón Lizardo,40,MX,1592706011,78,19.05,-95.98,84.0,4.7
197,Salalah,90,OM,1592706012,88,17.02,54.09,82.4,2.24
198,Manggar,100,ID,1592706013,80,-2.88,108.27,81.91,10.98
199,Leningradskiy,0,RU,1592706014,45,69.38,178.42,59.05,4.12
200,São Miguel do Araguaia,0,BR,1592706015,59,-13.28,-50.16,71.58,3.36
201,Oktyabr'skoye,36,RU,1592706016,100,43.06,44.74,62.01,6.71
202,Husavik,0,IS,1592706017,62,66.04,-17.34,53.6,21.92
203,Teya,100,RU,1592706018,86,60.38,92.63,44.42,4.36
204,Ust'-Omchug,0,RU,1592706020,31,61.15,149.63,67.26,1.81
205,San Antonio,1,US,1592705992,66,29.42,-98.49,88.0,13.87
206,São Filipe,2,CV,1592706022,82,14.9,-24.5,75.15,9.66
207,Mossamedes,0,AO,1592706023,57,-15.2,12.15,68.34,2.33
208,Morón,100,AR,1592705865,98,-34.65,-58.62,55.0,5.01
209,Saldanha,0,ZA,1592706025,93,-33.01,17.94,57.2,9.17
210,Santa Cruz de Tenerife,90,ES,1592706026,82,28.47,-16.25,66.0,14.99
211,Tuatapere,6,NZ,1592706027,69,-46.13,167.68,46.54,3.53
212,Torbay,40,CA,1592706028,93,47.67,-52.73,42.01,3.36
213,Souillac,75,MU,1592706029,100,-20.52,57.52,68.0,12.75
214,Kamenka,65,RU,1592706030,72,51.32,42.77,70.0,1.99
215,Riyadh,73,SA,1592705769,30,24.69,46.72,84.2,3.6
216,Klyuchi,2,RU,1592706033,40,52.27,79.17,55.96,6.69
217,Esperance,0,AU,1592705960,93,-33.87,121.9,46.4,10.29
218,Srednekolymsk,22,RU,1592706035,21,67.45,153.68,89.31,9.17
219,Vostok,100,RU,1592706036,99,46.49,135.88,49.66,5.77
220,Xai-Xai,0,MZ,1592706037,91,-25.05,33.64,60.73,2.89
221,Hervey Bay,75,AU,1592705749,68,-25.3,152.85,75.0,5.82
222,Kalmunai,100,LK,1592706039,68,7.42,81.82,83.1,3.15
223,Porto-Novo,20,BJ,1592706040,100,6.5,2.6,75.2,1.12
224,Turukhansk,1,RU,1592706041,56,65.82,87.98,53.94,16.91
225,Golden,75,US,1592705939,20,39.76,-105.22,79.0,4.7
226,Bafatá,99,GW,1592706043,87,12.17,-14.75,78.21,2.86
227,Krasnyy Kut,0,RU,1592706045,62,50.95,46.97,65.98,6.04
228,Nuuk,100,GL,1592706046,93,64.18,-51.72,37.4,9.17
229,Challans,90,FR,1592706047,93,46.84,-1.87,62.01,8.05
230,Harper,93,LR,1592706048,86,4.38,-7.72,77.07,8.97
231,Vanimo,8,PG,1592706049,65,-2.67,141.3,86.31,5.48
232,Tsimmerbude,75,RU,1592706050,100,54.67,20.13,62.6,4.43
233,Jatāra,34,IN,1592706051,47,25.02,79.05,91.74,11.68
234,Kasempa,0,ZM,1592706052,77,-13.46,25.83,47.5,5.37
235,Amambai,0,BR,1592706053,62,-23.1,-55.23,64.94,7.18
236,Assiniboia,6,CA,1592706054,62,49.63,-105.98,58.69,10.51
237,Yulara,0,AU,1592706055,35,-25.24,130.99,57.2,6.93
238,Zabul Province,0,AF,1592706057,18,32.25,67.25,74.03,4.76
239,Salmon Creek,90,US,1592706058,72,45.71,-122.65,68.0,5.19
240,Nongstoin,43,IN,1592706059,84,25.52,91.27,71.83,4.36
241,Safaga,0,EG,1592706060,42,26.73,33.94,80.6,17.22
242,Preeceville,88,CA,1592706061,85,51.95,-102.67,49.06,6.67
243,Tautira,75,PF,1592706062,70,-17.73,-149.15,84.2,6.93
244,Marawi,84,PH,1592706063,79,8.0,124.29,84.99,5.01
245,Tabuk,3,PH,1592706064,68,17.42,121.44,85.89,4.92
246,Hamilton,20,US,1592706065,73,39.18,-84.53,79.0,3.36
247,Rawson,100,AR,1592706066,63,-43.3,-65.1,51.15,23.64
248,Baruun-Urt,100,MN,1592706067,67,46.68,113.28,65.39,16.2
249,Porbandar,43,IN,1592706069,73,21.64,69.61,86.16,14.2
250,Broome,90,US,1592706070,88,42.25,-75.83,69.01,4.7
251,Cadillac,75,US,1592706071,60,44.25,-85.4,73.4,5.82
252,Kaeo,69,NZ,1592706072,3,-35.1,173.78,61.0,5.01
253,San Patricio,52,MX,1592706073,64,19.22,-104.7,80.47,2.01
254,The Valley,20,AI,1592706074,79,18.22,-63.06,84.2,12.75
255,Maceió,75,BR,1592705951,94,-9.67,-35.74,73.4,6.93
256,Bizhbulyak,91,RU,1592706064,96,53.7,54.26,58.1,7.11
257,Padang,99,ID,1592705961,60,-0.95,100.35,84.34,0.31
258,Mahajanga,40,MG,1592705851,78,-15.72,46.32,71.6,6.93
259,Fort Nelson,75,CA,1592706079,44,58.81,-122.7,77.0,5.82
260,Kipini,100,KE,1592706081,75,-2.53,40.53,78.53,20.6
261,Solnechnyy,100,RU,1592705800,52,50.72,136.63,62.47,6.42
262,Necochea,100,AR,1592706083,91,-38.55,-58.74,46.0,6.42
263,Thiene,100,IT,1592706084,72,45.71,11.48,64.0,4.79
264,San Rafael,16,AR,1592706009,46,-34.62,-68.33,52.25,5.26
265,Pozo Colorado,0,PY,1592706086,58,-23.49,-58.8,75.94,8.19
266,Vallenar,0,CL,1592706087,49,-28.57,-70.76,62.49,1.92
267,Touros,0,BR,1592706088,100,-5.2,-35.46,71.6,4.7
268,Teknāf,30,BD,1592706090,82,20.86,92.31,83.07,14.9
269,Charters Towers,54,AU,1592706091,59,-20.1,146.27,71.51,9.84
270,Koungou,75,YT,1592706092,78,-12.73,45.2,77.0,20.8
271,Petatlán,100,MX,1592706093,63,17.52,-101.27,82.24,3.04
272,Talnakh,40,RU,1592706094,76,69.49,88.4,48.2,13.42
273,Bambous Virieux,75,MU,1592706095,100,-20.34,57.76,69.01,12.75
274,Yabrūd,0,SY,1592706096,72,33.97,36.66,64.4,11.41
275,Richards Bay,0,ZA,1592706098,81,-28.78,32.04,58.32,5.88
276,Zyryanka,0,RU,1592706099,23,65.75,150.85,87.28,16.96
277,Kirensk,2,RU,1592706100,40,57.79,108.11,76.64,5.41
278,Qingyuan,40,CN,1592706101,62,23.7,113.03,87.8,8.95
279,Fukuechō,100,JP,1592706102,78,32.69,128.84,73.4,11.41
280,Sistranda,7,NO,1592706103,82,63.73,8.83,60.8,2.24
281,Dubbo,75,AU,1592705996,72,-32.25,148.62,59.0,13.87
282,Oodweyne,50,SO,1592706105,60,9.41,45.06,72.23,15.12
283,Iquitos,40,PE,1592706106,92,-3.75,-73.25,73.0,0.67
284,Buraidah,0,SA,1592705868,32,26.33,43.98,80.6,12.75
285,Tunceli,40,TR,1592706109,93,39.11,39.55,55.4,3.36
286,Muhos,5,FI,1592706110,81,64.81,25.99,53.6,5.82
287,Bandarbeyla,82,SO,1592706111,64,9.49,50.81,80.78,25.05
288,Hasaki,75,JP,1592706112,78,35.73,140.83,79.0,11.41
289,Qasigiannguit,100,GL,1592706113,49,68.82,-51.19,46.4,6.93
290,Mahon,0,ES,1592706114,93,39.89,4.27,64.4,4.7
291,Upernavik,0,GL,1592706115,73,72.79,-56.15,39.76,8.52
292,Yangi Marg`ilon,0,UZ,1592706116,22,40.43,71.72,77.0,2.24
293,East Grinstead,100,GB,1592706118,87,51.12,-0.01,59.0,3.36
294,Narsaq,81,GL,1592706119,61,60.92,-46.05,46.4,4.7
295,Dovers,100,VC,1592706120,79,12.88,-61.18,82.17,20.65
296,Anqiu,0,CN,1592706121,45,36.43,119.19,82.38,10.6
297,San Cristobal,62,VE,1592705841,90,7.77,-72.22,64.89,3.69
298,Airai,0,TL,1592706123,63,-8.93,125.41,69.53,4.59
299,Marzuq,9,YE,1592706124,34,14.4,46.47,81.25,4.21
300,Okhotsk,85,RU,1592706125,80,59.38,143.3,50.97,4.07
301,Safi,0,MA,1592706126,78,32.3,-9.24,67.68,12.39
302,Los Llanos de Aridane,90,ES,1592706127,64,28.66,-17.92,71.6,14.99
303,Warri,99,NG,1592706129,93,5.52,5.75,75.63,4.52
304,Barnstaple,100,GB,1592706130,96,51.08,-4.06,57.99,10.0
305,Mauá,0,BR,1592706008,60,-23.67,-46.46,69.01,1.12
306,Shelburne,20,CA,1592706132,73,44.08,-80.2,73.99,1.86
307,Delhi,75,IN,1592706068,88,28.67,77.22,95.0,2.24
308,Kyshtovka,93,RU,1592706134,67,56.55,76.63,51.3,15.1
309,Aykhal,20,RU,1592706135,33,66.0,111.5,75.2,4.47
310,Canmore,75,CA,1592706136,59,51.08,-115.35,64.4,4.18
311,Anadyr,75,RU,1592706137,63,64.75,177.48,60.8,8.95
312,Presidente Olegário,0,BR,1592706138,100,-18.42,-46.42,57.99,3.15
313,Bajil,71,YE,1592706139,48,15.06,43.29,86.74,8.88
314,Farafangana,100,MG,1592706141,89,-22.82,47.83,65.64,9.6
315,Severnyy,40,RU,1592706142,72,50.68,36.55,68.0,6.71
316,Gorgan,40,IR,1592706143,78,36.84,54.43,77.0,4.7
317,Kloulklubed,75,PW,1592706144,74,7.04,134.26,86.0,9.17
318,Būkān,0,IR,1592706145,47,36.52,46.21,59.22,5.01
319,Black River,20,JM,1592706146,83,18.03,-77.85,84.2,6.93
320,Flinders,39,AU,1592706147,77,-34.58,150.86,63.0,13.0
321,Cap Malheureux,11,MU,1592706148,88,-19.98,57.61,69.01,10.0
322,Thung Song,20,TH,1592706149,89,8.16,99.68,84.2,3.36
323,Port Macquarie,100,AU,1592706150,82,-31.43,152.92,62.01,8.1
324,Tombouctou,0,ML,1592706152,17,20.0,-3.0,94.3,9.6
325,Samoded,48,RU,1592706153,82,63.61,40.51,42.93,4.12
326,Pisco,75,PE,1592706154,82,-13.7,-76.22,64.4,8.05
327,Nālūt,0,LY,1592706155,40,30.33,10.85,69.1,13.22
328,La Palma,20,US,1592706156,60,33.85,-118.05,73.0,11.41
329,Arman',14,RU,1592706157,64,59.7,150.17,58.44,6.78
330,Kampong Thom,100,KH,1592706158,73,12.71,104.89,84.63,1.54
331,Felipe Carrillo Puerto,0,MX,1592706159,92,19.58,-88.05,75.99,2.82
332,Kimbe,16,PG,1592706160,58,-5.55,150.14,89.91,3.89
333,Ahipara,69,NZ,1592706161,78,-35.17,173.17,60.55,9.42
334,Bireun,99,ID,1592706162,69,5.2,96.7,83.08,2.42
335,Jacareacanga,68,BR,1592706164,67,-6.22,-57.75,79.23,1.86
336,Kutum,7,SD,1592706165,21,14.2,24.67,71.1,5.1
337,El Fuerte,0,MX,1592706166,29,26.42,-108.62,93.31,9.4
338,Basoko,92,CD,1592706167,80,1.24,23.62,72.18,1.21
339,Kiryat Gat,3,IL,1592706168,90,31.61,34.76,71.01,5.91
340,Toora-Khem,76,RU,1592706169,62,52.47,96.11,61.23,4.81
341,Dwārka,21,IN,1592706170,73,22.24,68.97,86.59,12.97
342,Progress,1,US,1592706171,73,40.29,-76.83,73.4,4.7
343,Half Moon Bay,90,US,1592706115,93,37.46,-122.43,66.99,4.7
344,Kruisfontein,41,ZA,1592706173,95,-34.0,24.73,54.84,7.11
345,Ormara,48,PK,1592706174,76,25.21,64.64,85.03,10.29
346,Gizo Government Station,43,SB,1592706176,72,-8.1,156.84,84.4,6.78
347,Mittagong,17,AU,1592706051,77,-34.45,150.45,63.0,13.0
348,Krasnosel'kup,9,RU,1592706178,65,65.7,82.47,51.75,18.48
349,Namatanai,48,PG,1592706179,70,-3.67,152.43,84.87,0.94
350,Talara,48,PE,1592706180,84,-4.58,-81.27,66.16,15.77
351,Cabedelo,20,BR,1592706181,94,-6.98,-34.83,73.4,4.7
352,Benito Juarez,90,MX,1592706142,63,19.39,-99.17,68.0,5.55
353,Vila Velha,0,BR,1592706041,83,-20.33,-40.29,71.6,9.17
354,Cockburn Town,46,TC,1592706184,80,21.46,-71.14,82.67,18.75
355,São João da Barra,0,BR,1592706185,89,-21.64,-41.05,72.84,10.51
356,Tabas,7,IR,1592706186,11,33.6,56.92,89.6,2.24
357,Makakilo City,75,US,1592705964,48,21.35,-158.09,87.8,9.17
358,Oyama,75,JP,1592706189,77,36.3,139.8,78.01,10.29
359,Kaseda-shirakame,90,JP,1592706190,88,31.42,130.32,69.8,13.87
360,La Santisima Trinidad,15,BO,1592705933,74,-14.83,-64.9,75.31,2.84
361,Pemberton,40,CA,1592706003,72,50.32,-122.8,64.4,4.7
362,Isangel,14,VU,1592706193,71,-19.55,169.27,74.66,15.79
363,Codajás,18,BR,1592706194,79,-3.84,-62.06,76.1,2.17
364,Dalbandin,0,PK,1592706195,22,28.89,64.41,84.02,5.46
365,Angoram,41,PG,1592706196,63,-4.06,144.07,89.47,2.33
366,Eatonton,0,US,1592706197,97,33.33,-83.39,77.0,4.32
367,Paragominas,0,BR,1592706198,92,-2.97,-47.48,73.22,3.89
368,Birao,0,CF,1592706200,76,10.28,22.79,76.32,7.38
369,Tatarskaya Kargala,0,RU,1592706201,59,51.95,55.17,60.8,4.47
370,Kabalo,0,CD,1592706202,60,-6.05,26.92,66.83,2.77
371,Rundu,0,NA,1592706203,61,-17.93,19.77,46.4,1.12
372,Aksay,0,RU,1592706204,60,47.26,39.87,68.0,6.71
373,Inuvik,90,CA,1592705973,71,68.35,-133.72,50.0,9.17
